State Abbv,StateFull,Capital,Region,Population,DateAddedToUnion,Order,State FIPS Code,
DE,Delaware,Dover,South Region,1031890,1787-12-07,1,10,
PA,Pennsylvania,Harrisburg,Northeast Region,12961683,1787-12-12,2,42,
NJ,New Jersey,Trenton,Northeast Region,9290841,1787-12-18,3,34,
GA,Georgia,Atlanta,South Region,11029227,1788-01-02,4,13,
CT,Connecticut,Hartford,Northeast Region,3617176,1788-01-09,5,09,
MA,Massachusetts,Boston,Northeast Region,7001399,1788-02-06,6,25,
MD,Maryland,Annapolis,South Region,6180253,1788-04-28,7,24,
SC,South Carolina,Columbia,South Region,5373555,1788-05-23,8,45,
NH,New Hampshire,Concord,Northeast Region,1402054,1788-06-21,9,33,
VA,Virginia,Richmond,South Region,8715698,1788-06-25,10,51,
NY,New York,Albany,Northeast Region,19571216,1788-07-26,11,36,
NC,North Carolina,Raleigh,South Region,10835491,1789-11-21,12,37,
RI,Rhode Island,Providence,Northeast Region,1095962,1790-05-29,13,44,
VT,Vermont,Montpelier,Northeast Region,647464,1791-03-04,14,50,
KY,Kentucky,Frankfort,South Region,4526154,1792-06-01,15,21,
TN,Tennessee,Nashville,South Region,7126489,1796-06-01,16,47,
OH,Ohio,Columbus,Midwest Region,11785935,1803-03-01,17,39,
LA,Louisiana,Baton Rouge,South Region,4573749,1812-04-30,18,22,
IN,Indiana,Indianapolis,Midwest Region,6862199,1816-12-11,19,18,
MS,Mississippi,Jackson,South Region,2939690,1817-12-10,20,28,
IL,Illinois,Springfield,Midwest Region,12549689,1818-12-03,21,17,
AL,Alabama,Montgomery,South Region,5108468,1819-12-14,22,01,
ME,Maine,Augusta,Northeast Region,1395722,1820-03-15,23,23,
MO,Missouri,Jefferson City,Midwest Region,6196156,1821-08-10,24,29,
AR,Arkansas,Little Rock,South Region,3067732,1836-06-15,25,05,
MI,Michigan,Lansing,Midwest Region,10037261,1837-01-26,26,26,
FL,Florida,Tallahassee,South Region,22610726,1845-03-03,27,12,
TX,Texas,Austin,South Region,30503301,1845-12-29,28,48,
IA,Iowa,Des Moines,Midwest Region,3207004,1846-12-28,29,19,
WI,Wisconsin,Madison,Midwest Region,5910955,1848-05-29,30,55,
CA,California,Sacramento,West Region,38965193,1850-09-09,31,06,
MN,Minnesota,Saint Paul,Midwest Region,5737915,1858-05-11,32,27,
OR,Oregon,Salem,West Region,4233358,1859-02-14,33,41,
KS,Kansas,Topeka,Midwest Region,2940546,1861-01-29,34,20,
WV,West Virginia,Charleston,South Region,1770071,1863-06-20,35,54,
NV,Nevada,Carson City,West Region,3194176,1864-10-31,36,32,
NE,Nebraska,Lincoln,Midwest Region,1978379,1867-03-01,37,31,
CO,Colorado,Denver,West Region,5877610,1876-08-01,38,08,
ND,North Dakota,Bismarck,Midwest Region,783926,1889-11-02,39,38,
SD,South Dakota,Pierre,Midwest Region,919318,1889-11-02,40,46,
MT,Montana,Helena,West Region,1132812,1889-11-08,41,30,
WA,Washington,Olympia,West Region,7812880,1889-11-11,42,53,
ID,Idaho,Boise,West Region,1964726,1890-07-03,43,16,
WY,Wyoming,Cheyenne,West Region,584057,1890-07-10,44,56,
UT,Utah,Salt Lake City,West Region,3417734,1896-01-04,45,49,
OK,Oklahoma,Oklahoma City,South Region,4053824,1907-11-16,46,40,
NM,New Mexico,Santa Fe,West Region,2114371,1912-01-06,47,35,
AZ,Arizona,Phoenix,West Region,7431344,1912-02-14,48,04,
AK,Alaska,Juneau,West Region,733406,1959-01-03,49,02,
HI,Hawaii,Honolulu,West Region,1435138,1959-08-21,50,15
